Height,BMI,Sex,Weight
173.0,29.7,Male,88.9
175.8,34.24,Male,105.8
174.1,27.57,Male,83.6
179.9,25.9,Male,83.8
184.6,26.72,Male,91.1
180.6,35.98,Male,117.4
190.3,26.91,Male,97.5
186.7,20.57,Male,71.7
179.2,32.4,Male,104.0
191.4,31.65,Male,115.9
171.8,31.36,Male,92.6
171.4,23.66,Male,69.5
183.8,27.47,Male,92.8
191.7,25.14,Male,92.4
178.1,29.48,Male,93.5
194.6,27.07,Male,102.5
187.6,31.67,Male,111.5
185.6,30.55,Male,105.2
183.7,31.74,Male,107.1
175.0,25.05,Male,76.7
173.0,24.62,Male,73.7
172.5,38.98,Male,116.0
179.1,26.76,Male,85.8
188.3,23.93,Male,84.8
171.6,23.71,Male,69.8
173.4,23.67,Male,71.2
177.8,26.95,Male,85.2
179.9,27.25,Male,88.2
175.2,32.88,Male,100.9
180.3,27.81,Male,90.4
177.1,22.93,Male,71.9
187.1,28.49,Male,99.7
183.2,22.06,Male,74.0
182.0,26.71,Male,88.5
185.4,27.17,Male,93.4
189.5,28.88,Male,103.7
185.3,25.2,Male,86.5
178.7,29.28,Male,93.5
165.3,30.8,Male,84.2
183.7,26.03,Male,87.8
180.9,30.7,Male,100.5
199.0,25.75,Male,102.0
178.3,26.78,Male,85.1
180.8,26.53,Male,86.7
189.6,28.65,Male,103.0
187.2,24.31,Male,85.2
181.2,27.07,Male,88.9
170.7,30.89,Male,90.0
187.6,15.17,Male,53.4
195.8,25.58,Male,98.1
183.7,21.66,Male,73.1
178.8,28.57,Male,91.3
175.9,22.57,Male,69.8
190.9,33.99,Male,123.9
177.1,28.22,Male,88.5
179.0,20.51,Male,65.7
172.2,23.91,Male,70.9
189.4,30.77,Male,110.4
182.2,33.74,Male,112.0
175.0,31.97,Male,97.9
174.8,20.53,Male,62.7
188.6,28.23,Male,100.4
170.6,18.12,Male,52.7
175.7,29.27,Male,90.4
177.8,27.91,Male,88.2
183.6,26.74,Male,90.1
189.3,28.66,Male,102.7
172.1,30.7,Male,90.9
172.6,27.33,Male,81.4
199.8,19.34,Male,77.2
168.2,29.51,Male,83.5
189.5,24.35,Male,87.4
168.8,26.41,Male,75.3
189.1,28.14,Male,100.6
187.8,25.82,Male,91.1
184.4,24.44,Male,83.1
173.0,28.65,Male,85.7
176.0,27.9,Male,86.4
188.9,27.05,Male,96.5
169.5,25.53,Male,73.3
181.8,25.86,Male,85.5
185.7,24.69,Male,85.1
174.5,34.09,Male,103.8
175.2,25.54,Male,78.4
179.2,30.33,Male,97.4
174.3,30.26,Male,91.9
193.8,22.88,Male,85.9
187.2,19.95,Male,69.9
183.7,32.53,Male,109.8
184.9,27.81,Male,95.1
177.7,19.29,Male,60.9
181.8,25.25,Male,83.5
173.2,21.12,Male,63.4
191.2,31.34,Male,114.6
183.1,23.87,Male,80.0
167.7,31.45,Male,88.4
186.7,25.02,Male,87.2
184.6,33.3,Male,113.5
188.0,26.88,Male,95.0
187.8,34.35,Male,121.1
176.7,29.27,Male,91.4
192.5,26.65,Male,98.8
180.1,25.36,Male,82.3
178.6,25.56,Male,81.5
177.3,35.15,Male,110.5
178.7,29.87,Male,95.4
177.5,27.58,Male,86.9
173.8,21.13,Male,63.8
177.8,29.39,Male,92.9
179.3,27.67,Male,89.0
177.7,24.69,Male,78.0
178.2,27.59,Male,87.6
191.4,30.24,Male,110.8
179.2,23.7,Male,76.1
171.4,25.91,Male,76.1
192.7,28.64,Male,106.3
183.8,19.69,Male,66.5
190.9,24.24,Male,88.3
177.1,24.67,Male,77.4
177.5,27.27,Male,85.9
178.6,27.23,Male,86.9
188.6,23.48,Male,83.5
176.1,26.76,Male,83.0
184.0,31.11,Male,105.3
175.2,24.22,Male,74.3
